Ayaka_test3,0,20.1589999199,22.2472395457,,5.9539064919,24.766216642
Ayaka_test3,1,14.7490000725,76.459180699,,,
Ayaka_test3,2,5.7250001431,25.7747502976,,,
Angus_test3,0,7.7590000629,39.9245873233,,1.0148097615,20.0255523887
Angus_test3,1,8.0289998055,88.4958267841,,,
Angus_test3,2,10.0339999199,58.2748560901,,,
Ayaka_test3,0,4.0659999847,13.8715445024,mouse,0.5279755908,3.1700905958
Ayaka_test3,1,5.1879999638,6.5325099898,mouse,,
Ayaka_test3,2,4.0699999332,8.0050829925,mouse,,
Angus_test3,0,3.9769999981,8.988581622,mouse,0.3629070349,0.739314359
Angus_test3,1,4.8339998722,7.2403744689,mouse,,
Angus_test3,2,4.6099998951,7.7052537081,mouse,,
